;;Time;Quality;Transformation;Checks
Attributes;Dataset;Value;Value;Value;Value
8;SS13ACS;554.0;0.926656712413928;[3, 0, 1, 0, 0, 0, 0, 0];820.0
9;SS13ACS;81.0;0.8989106249735634;[4, 0, 2, 0, 0, 0, 0, 0, 0];47.0
9;SS13ACS;89.0;0.9047129763080468;[3, 0, 2, 0, 0, 0, 1, 1, 0];63.0
9;SS13ACS;4503.0;0.9047129763080468;[3, 0, 2, 0, 0, 0, 1, 1, 0];3872.0
10;SS13ACS;151.0;0.8375428740145654;[3, 0, 1, 0, 0, 0, 2, 0, 0, 1];68.0
10;SS13ACS;153.0;0.8831153737345716;[4, 0, 2, 0, 0, 0, 1, 0, 0, 1];72.0
10;SS13ACS;156.0;0.888117080450525;[3, 0, 2, 0, 0, 0, 1, 0, 1, 1];80.0
10;SS13ACS;315.0;0.8881688921714881;[4, 0, 2, 0, 0, 0, 1, 0, 1, 0];442.0
10;SS13ACS;320.0;0.8883229410419293;[4, 0, 2, 0, 0, 0, 1, 0, 2, 0];451.0
10;SS13ACS;22944.0;0.8883229410419293;[4, 0, 2, 0, 0, 0, 1, 0, 2, 0];15858.0
11;SS13ACS;185.0;0.8407648044255271;[3, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1];75.0
11;SS13ACS;191.0;0.8417632341367056;[3, 0, 1, 0, 0, 0, 0, 2, 0, 1, 1];86.0
11;SS13ACS;194.0;0.8815373250528298;[4, 0, 2, 0, 0, 0, 0, 1, 0, 1, 1];90.0
11;SS13ACS;198.0;0.8858617886647133;[3, 0, 2, 0, 0, 0, 0, 1, 0, 2, 1];99.0
11;SS13ACS;63920.0;0.8858617886647133;[3, 0, 2, 0, 0, 0, 0, 1, 0, 2, 1];32507.0
12;SS13ACS;238.0;0.8371861753471794;[4, 0, 0, 0, 0, 0, 0, 0, 2, 0, 1, 1];94.0
12;SS13ACS;241.0;0.8599273053109955;[5, 0, 1, 0, 0, 0, 0, 0, 1, 0, 1, 1];98.0
12;SS13ACS;248.0;0.8619894289728982;[5, 0, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1];110.0
12;SS13ACS;248.0;0.8666247872048634;[4, 1, 2, 0, 0, 0, 0, 0, 1, 0, 1, 1];111.0
12;SS13ACS;252.0;0.869547194920236;[4, 0, 2, 0, 0, 0, 0, 0, 1, 1, 1, 1];119.0
12;SS13ACS;252.0;0.8782090241868381;[4, 0, 2, 0, 0, 0, 0, 0, 1, 0, 2, 1];120.0
12;SS13ACS;188238.0;0.8782090241868381;[4, 0, 2, 0, 0, 0, 0, 0, 1, 0, 2, 1];76679.0
13;SS13ACS;307.0;0.8595904728076837;[5, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1];119.0
13;SS13ACS;838057.0;0.8595904728076837;[5, 0, 2, 0, 0, 0, 0, 0, 0, 1, 0, 1, 1];265762.0
14;SS13ACS;395.0;0.8412172905937472;[4, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 0, 2, 1];158.0
14;SS13ACS;427.0;0.8503307323297666;[5, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 3, 1];201.0
14;SS13ACS;434.0;0.853582307460671;[4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 1];213.0
14;SS13ACS;14380.0;0.8574696500393257;[3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 1];10666.0
14;SS13ACS;2275161.0;0.8574696500393257;[3, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 1];626383.0
15;SS13ACS;493.0;0.8448125940636249;[5, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 0];181.0
15;SS13ACS;501.0;0.8535106512221335;[4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 1];194.0
15;SS13ACS;6920694.0;0.8535106512221335;[4, 0, 2, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 4, 1];1634751.0
